country_iso3,year,season_precip_total_mm,season_temp_mean_c,precip_m02_mm,temp_m02_c,precip_m03_mm,temp_m03_c,precip_m04_mm,temp_m04_c,precip_m05_mm,temp_m05_c,precip_m06_mm,temp_m06_c
CHN,2004,219.8,15.53,17.6,4.81,11.4,9.25,11.7,16.56,83.3,21.13,95.8,25.57
CHN,2005,227.1,15.4,11.3,-0.27,12.3,7.58,24.0,18.12,56.4,22.04,123.0,28.54
CHN,2006,209.6,15.99,17.3,2.45,4.5,9.86,36.7,16.74,67.1,21.99,84.0,28.03
CHN,2007,207.6,16.77,23.6,6.21,64.6,9.05,10.1,16.34,42.2,24.6,67.0,26.96
CHN,2008,204.3,15.53,3.8,1.26,9.7,10.96,85.4,16.22,68.3,22.75,37.1,25.9
CHN,2009,262.1,15.92,27.9,5.05,22.7,9.13,49.8,16.42,107.4,20.66,54.3,27.69
CHN,2010,187.7,14.31,16.8,2.56,22.6,7.09,55.1,13.14,55.6,21.42,37.6,26.54
CHN,2011,121.1,15.23,29.5,1.81,6.8,7.64,13.3,16.49,43.5,21.31,28.0,28.05
CHN,2012,110.1,14.89,0.2,0.91,30.2,6.57,48.4,16.46,17.8,22.47,13.6,27.59
CHN,2013,198.9,15.67,13.0,2.63,8.4,9.87,29.5,15.25,126.9,22.74,21.1,26.94
CHN,2014,208.9,16.17,30.7,1.42,5.5,11.79,71.4,16.83,68.6,22.89,32.7,26.88
CHN,2015,312.5,15.27,6.8,3.67,27.1,9.74,78.8,14.86,85.3,21.5,114.6,25.77
CHN,2016,261.4,16.03,18.2,3.48,6.2,10.46,43.7,18.21,71.5,21.39,121.7,26.22
CHN,2017,194.9,16.06,12.8,4.3,12.5,8.85,32.1,17.12,68.7,23.41,68.9,25.82
CHN,2018,290.8,16.25,6.5,2.87,31.3,10.98,70.4,16.86,116.6,22.27,66.0,27.35
CHN,2019,153.2,16.63,11.4,2.19,5.7,11.32,39.7,16.33,2.6,23.61,93.8,28.68
CHN,2020,300.8,16.48,33.9,5.22,40.7,10.99,19.5,15.28,54.6,23.81,152.1,26.67
CHN,2021,212.2,16.84,46.4,6.99,28.5,10.35,36.9,15.21,39.8,22.54,60.6,28.47
CHN,2022,103.6,16.03,1.5,1.96,21.0,10.09,11.8,16.37,10.7,21.01,58.6,29.81
CHN,2023,348.5,16.19,26.1,4.03,19.8,12.05,89.6,16.0,153.3,21.4,59.7,26.63
IND,2001,148.4,28.09,3.9,17.27,13.5,23.02,17.1,28.74,33.3,35.52,80.7,35.09
IND,2002,83.6,29.17,20.9,16.01,14.6,23.69,5.7,30.88,16.9,36.64,25.5,37.7
IND,2003,146.9,27.84,64.8,16.15,17.3,21.12,4.7,29.67,7.5,33.89,52.6,37.59
IND,2004,130.5,28.75,7.7,16.87,0.0,25.24,32.2,31.52,30.6,34.15,59.9,35.52
IND,2005,207.1,26.89,50.5,14.33,54.1,22.03,10.8,26.69,6.1,33.28,85.5,37.25
