country_iso3,year,ndvi_season_mean,ndvi_season_max,evi_season_mean,ndvi_m02,evi_m02,ndvi_m03,evi_m03,ndvi_m04,evi_m04,ndvi_m05,evi_m05,ndvi_m06,evi_m06
KAZ,2016,0.23377918988560403,0.4554771481107772,0.1345962842722463,0.033624327769473425,0.010552121146646876,0.11360420859264105,0.055485270052903816,0.29852102349857557,0.16695751591114186,0.37073604881063166,0.22185116403288482,0.36594098574466893,0.22524861791097445
KAZ,2017,0.20391485670953166,0.41929644578565867,0.11608896545898517,0.0024305406690159777,-0.007803104074480611,0.07025637447257121,0.031092518949946454,0.2694881873905672,0.14893257834570173,0.34676753534762733,0.20492530388374514,0.3403564010680788,0.20847351576546555
KAZ,2018,0.1948218856479731,0.3988861519873583,0.11152550351056884,0.015041409867286328,0.003706773692887838,0.09188574887169268,0.04552300026928409,0.24762255370711772,0.13735152778193077,0.310942782450568,0.18252484660653118,0.320193612963726,0.1947936675226464
KAZ,2019,0.2066968262171694,0.4018511928317477,0.11856096093827738,0.01573415029851164,0.0010014244212921666,0.11735316615350566,0.05714502644140887,0.2702916334425305,0.15258543867323504,0.3164207417409044,0.18834421572949703,0.3234486963419264,0.19906688862682118
KAZ,2020,0.2077689862013135,0.3830890295211837,0.11954196700939963,0.04259742838143639,0.013935742247587797,0.11734705823028117,0.06006468803113277,0.2666288683203805,0.1506590946536157,0.32402381417454645,0.1944214043949061,0.29866426097689136,0.18425357943836376
KAZ,2021,0.17874705473966096,0.3517080246315621,0.10474611010407561,0.030115168297677065,0.012043034953445768,0.06440703046396737,0.03081698732865448,0.22864584887921652,0.130771914372713,0.29564739561068293,0.17844969370378463,0.2835256842373058,0.17643413551078513
KAZ,2022,0.19143270274805801,0.38003493491673035,0.11383509626033907,0.021100346541578968,0.005050629514189191,0.0822987562676812,0.04206798377353565,0.2520479414247663,0.1472390379649801,0.31234282039708333,0.19224192282426023,0.29835142115877,0.1875367697603383
KAZ,2023,0.18916140473549276,0.357145919103947,0.11089661465337491,0.018644835361886353,0.004351247528530449,0.13445197504690304,0.07099003820674536,0.2392696163878462,0.13775020821942072,0.2854946064947016,0.17356456467953996,0.27677481143623617,0.17286277693188937
UZB,2001,0.14163753465615517,0.22091633027560917,0.09811173331446857,0.09801655059129238,0.05957995241370538,0.1571206801176141,0.10253643590665937,0.18214374480263928,0.12915564956638326,0.15797682012694414,0.11396340832508244,0.14096415134132378,0.10414601967593656
UZB,2002,0.18733817563317295,0.2920116008752656,0.12686429995939663,0.13248646650422422,0.07840905300941957,0.17395743681579223,0.11491134126487651,0.2374262415855607,0.16107682753146244,0.2277046193076954,0.15992084422054798,0.18954809040713308,0.13583144602875658
UZB,2003,0.1735439793710348,0.27349221570210586,0.11579274440015933,0.1090322671016891,0.06420487687111047,0.15002906878264277,0.09434847439781964,0.2063337434980238,0.1397958855659695,0.22220456639189584,0.1533657654398234,0.20208472056248988,0.14063954852953234
UZB,2004,0.18574401040390762,0.2751227959005548,0.12379469816136439,0.1570929715772701,0.09278938546078941,0.1821011320570891,0.11772334127709813,0.2291125660295345,0.1548709093896739,0.20068671098175062,0.13850587876256829,0.17819422018474995,0.12620534336734449
UZB,2005,0.1705209920697399,0.2694122554817305,0.11398039632670384,0.09541380428968177,0.05543178888432437,0.18986808508782074,0.11892641628668257,0.2137656462435126,0.1469100290900332,0.1961237043298737,0.13641154172338388,0.17944045412732842,0.12599081448659624
UZB,2006,0.16901355071414323,0.25845937174423966,0.11363739349837428,0.12847896510829626,0.07333635981793242,0.1747533223390796,0.11226355126785321,0.20537857073594934,0.1414182577682281,0.1860290073140875,0.13170817251334888,0.17400762676400255,0.12495741213148273
UZB,2007,0.1775865559359861,0.27304646670762306,0.11991312055669946,0.13749779248389601,0.08463449931304111,0.1633417341782839,0.10101687024200275,0.22989910642767297,0.15740578465089508,0.19662494206832212,0.13927422327500188,0.17708611204752137,0.1273448342542805
UZB,2008,0.14222815267497618,0.22883963664137189,0.0981575412278599,0.06172891652073636,0.03547398305290336,0.15169633596764576,0.10145178738937037,0.17838287807995828,0.12353877958741653,0.17242112953141497,0.1220514081591577,0.15812711524965972,0.11551521978994395
UZB,2009,0.18224885330982848,0.27395385229860864,0.12376260452957957,0.12999791548403353,0.07628299498196228,0.1843540262579163,0.12230928057385122,0.23018922106554626,0.1579233829617674,0.20612183923073266,0.1446203361785412,0.17250140656461485,0.12450898926369694
UZB,2010,0.16996180487307963,0.26883915562058075,0.11445654009826259,0.10722897600506619,0.06244309780827967,0.17645665190728416,0.1142498266826128,0.2079998228670461,0.14237044549677116,0.19007221889486256,0.13160471866292042,0.1792552425394151,0.12833450070193872
UZB,2011,0.14531976510392083,0.22685422597854205,0.1000930811170361,0.09249821159147802,0.055758448883775076,0.13854237820262072,0.08967500461190685,0.17133759680590396,0.12038289861158046,0.17275162628378057,0.12252694306673895,0.1616351223491299,0.11805030323343273
UZB,2012,0.14946890389566742,0.24747720043275606,0.10296847610467724,0.06581872718696949,0.03940314717962334,0.12945430594382282,0.07967025861640241,0.18678924973281125,0.13148541734435515,0.19145183568209645,0.13670932201592545,0.18237227041642262,0.13334327338124607
UZB,2013,0.17462343570421815,0.26356665928111317,0.1202130285251341,0.1294094914038638,0.07913464200402452,0.17034939511077968,0.11169510490301465,0.21308477551973976,0.1485639982136509,0.19386801441873067,0.13906128184319058,0.1750958894510909,0.12782227429846554
UZB,2014,0.14765324648082925,0.24114349329859125,0.10273424666641838,0.06789466211831222,0.0426338252863871,0.14299692219892884,0.09223066085285032,0.1896286841482479,0.1315327607054516,0.17931785682451004,0.12998555076625107,0.16600961741557987,0.12142173453336329
